City,State,Cost of Living Index,Cost Category
Springfield,MA,106.5,High
Springfield,MO,86.7,Low
Springfield,OH,87.5,Low
St. Cloud,MN,95.4,Medium
St. George,UT,98.0,Medium
St. Joseph,MO,85.5,Low
St. Louis,MO,89.6,Low
State College,PA,99.8,Medium
Statesboro,GA,91.1,Medium
Staunton,VA,94.5,Medium
Stevens Point,WI,91.5,Medium
Stillwater,OK,86.3,Low
Stockton,CA,113.6,High
Sumter,SC,88.1,Low
Sunbury,PA,88.6,Low
Syracuse,NY,95.1,Medium
Talladega,AL,87.4,Low
Tallahassee,FL,96.4,Medium
Tampa,FL,101.4,High
Terre Haute,IN,84.7,Low
Texarkana,TX,86.3,Low
The Villages,FL,100.7,High
Toledo,OH,87.5,Low
Topeka,KS,85.6,Low
Torrington,CT,105.2,High
Traverse City,MI,99.6,Medium
Trenton,NJ,104.3,High
Truckee,CA,132.8,High
Tucson,AZ,97.7,Medium
Tullahoma,TN,88.7,Low
Tulsa,OK,86.7,Low
Tupelo,MS,87.2,Low
Tuscaloosa,AL,91.0,Medium
Twin Falls,ID,91.2,Medium
Tyler,TX,92.8,Medium
Ukiah,CA,128.0,High
Utica,NY,94.1,Medium
Valdosta,GA,89.2,Low
Vallejo,CA,125.2,High
Vineland,NJ,97.8,Medium
Virginia Beach,VA,99.0,Medium
Visalia,CA,103.6,High
Waco,TX,89.5,Low
Walla Walla,WA,100.9,High
Warner Robins,GA,90.5,Medium
Warsaw,IN,92.3,Medium
Washington,DC,120.1,High
Waterloo,IA,87.6,Low
Watertown,WI,97.1,Medium
Watertown,NY,96.4,Medium
Wausau,WI,88.9,Low
Wenatchee,WA,106.6,High
Whitewater,WI,97.7,Medium
Wichita Falls,TX,85.7,Low
Wichita,KS,86.8,Low
Williamsport,PA,93.4,Medium
Wilmington,NC,99.0,Medium
Wilson,NC,86.3,Low
Winchester,VA,97.2,Medium
Winston-Salem,NC,91.2,Medium
Wooster,OH,95.5,Medium
Worcester,MA,113.2,High
Yakima,WA,97.5,Medium
York,PA,95.8,Medium
Youngstown,OH,86.4,Low
Yuba City,CA,108.7,High
Yuma,AZ,94.5,Medium
Zanesville,OH,87.6,Low
Bloomington,IL,89.0,Low
California,MD,104.8,High
Crestview,FL,104.7,High
Glenwood Springs,CO,127.8,High
Greenfield Town,MA,106.2,High
Hermiston,OR,97.9,Medium
Holland,MI,96.2,Medium
Jefferson,GA,97.4,Medium
Lafayette,IN,88.7,Low
Los Angeles,CA,140.6,High
Sarasota,FL,104.4,High
Salem,OH,86.6,Low
Santa Maria,CA,143.0,High
Honolulu,HI,158.0,High
Wisconsin Rapids,WI,86.9,Low
Stamford,CT,119.2,High
Fort Myers,FL,101.5,High
Dallas,TX,98.5,Medium
Davenport,IA,87.2,Low
Daytona Beach,FL,99.6,Medium
Hagerstown,MD,99.7,Medium
Logan,UT,95.2,Medium
Louisville,KY,91.6,Medium
Miami,FL,110.1,High
Minneapolis,MN,105.4,High
Ventura,CA,132.2,High
Melbourne,FL,99.3,Medium
Vero Beach,FL,98.9,Medium
Weirton,WV,82.6,Low
Wheeling,WV,84.1,Low
New London,CT,105.9,High
Daphne,AL,96.6,Medium
Victoria,TX,89.5,Low
Aberdeen,WA,97.6,Medium
